DateHourBucket,Arrived,Exam Begun,Exam Ended,Final,Ordered,Prelim,TotalCount
2047-04-01 17:00:00,0,0,0,0,1,0,1
2047-08-12 18:00:00,0,0,0,0,1,0,1
2047-12-04 09:00:00,0,0,0,0,0,0,0
2048-02-25 09:00:00,0,0,0,0,0,0,0
2048-07-23 10:00:00,0,0,0,0,1,0,1
2048-09-29 18:00:00,0,0,0,0,1,0,1
2048-11-11 18:00:00,0,0,0,0,0,0,0
2048-11-17 11:00:00,0,0,0,0,1,0,1
2048-12-08 09:00:00,0,0,0,0,0,0,0
2048-12-11 09:00:00,0,0,0,0,0,0,0
2048-12-22 08:00:00,0,0,0,0,0,0,0
2048-12-30 08:00:00,0,0,0,0,0,0,0
2048-12-30 09:00:00,0,0,0,0,0,0,0
2048-12-30 10:00:00,0,0,0,0,0,0,0
2048-12-30 15:00:00,0,0,0,0,0,0,0
2048-12-30 16:00:00,0,0,0,0,0,0,0
2049-01-04 11:00:00,0,0,0,0,0,0,0
2049-01-12 16:00:00,0,0,0,0,1,0,1
2049-01-13 11:00:00,0,0,0,0,0,0,0
2049-01-14 08:00:00,0,0,0,0,0,0,0
2049-01-14 16:00:00,0,0,0,0,0,0,0
2049-01-15 15:00:00,0,0,0,0,0,0,0
2049-01-21 09:00:00,0,0,0,0,1,0,1
2049-01-26 14:00:00,0,0,0,0,1,0,1
2049-01-27 10:00:00,0,0,0,0,0,0,0
2049-01-28 09:00:00,0,0,0,0,0,0,0
2049-01-28 10:00:00,0,0,0,0,0,0,0
2049-02-03 08:00:00,0,0,0,0,0,0,0
2049-02-08 17:00:00,0,0,0,0,1,0,1
2049-02-11 15:00:00,0,0,0,0,1,0,1
2049-02-18 10:00:00,0,0,0,0,0,0,0
2049-02-22 14:00:00,0,0,0,0,0,0,0
2049-02-25 16:00:00,0,0,0,0,1,0,1
2049-03-03 10:00:00,0,0,0,0,3,0,3
2049-03-04 08:00:00,0,0,0,0,0,0,0
2049-03-04 09:00:00,0,0,0,0,1,0,1
2049-03-04 10:00:00,0,0,0,0,0,0,0
2049-03-08 09:00:00,0,0,0,0,0,0,0
2049-03-09 14:00:00,0,0,0,0,1,0,1
2049-03-11 08:00:00,0,0,0,0,1,0,1
2049-03-11 11:00:00,0,0,0,0,1,0,1
2049-03-15 17:00:00,0,0,0,0,1,0,1
2049-03-16 13:00:00,0,0,0,0,1,0,1
